Benchmark,TokenNone,TokenComma,TokenAssign,TokenAddAssign,TokenSubtractAssign,TokenMultiplyAssign,TokenDivideAssign,TokenModulusAssign,TokenShiftLeftAssign,TokenShiftRightAssign,TokenArithmeticAndAssign,TokenArithmeticOrAssign,TokenArithmeticExorAssign,TokenQuestionMark,TokenColon,TokenLogicalOr,TokenLogicalAnd,TokenArithmeticOr,TokenArithmeticExor,TokenAmpersand,TokenEqual,TokenNotEqual,TokenLessThan,TokenGreaterThan,TokenLessEqual,TokenGreaterEqual,TokenShiftLeft,TokenShiftRight,TokenPlus,TokenMinus,TokenAsterisk,TokenSlash,TokenModulus,TokenIncrement,TokenDecrement,TokenUnaryNot,TokenUnaryExor,TokenSizeof,TokenCast,TokenLeftSquareBracket,TokenRightSquareBracket,TokenDot,TokenArrow,TokenOpenBracket,TokenCloseBracket,TokenIdentifier,TokenIntegerConstant,TokenUnsignedIntegerConstant,TokenLongIntegerConstant,TokenUnsignedLongIntegerConstant,TokenLongLongIntegerConstant,TokenUnsignedLongLongIntegerConstant,TokenFloatConstant,TokenDoubleConstant,TokenStringConstant,TokenCharacterConstant,TokenSemicolon,TokenEllipsis,TokenLeftBrace,TokenRightBrace,TokenIntType,TokenCharType,TokenFloatType,TokenDoubleType,TokenVoidType,TokenEnumType,TokenLongType,TokenSignedType,TokenShortType,TokenStaticType,TokenAutoType,TokenRegisterType,TokenExternType,TokenStructType,TokenUnionType,TokenUnsignedType,TokenTypedef,TokenContinue,TokenDo,TokenElse,TokenFor,TokenGoto,TokenIf,TokenWhile,TokenBreak,TokenSwitch,TokenCase,TokenDefault,TokenReturn,TokenHashDefine,TokenHashInclude,TokenHashIf,TokenHashIfdef,TokenHashIfndef,TokenHashElse,TokenHashEndif,TokenNew,TokenDelete,TokenOpenMacroBracket,TokenEOF,TokenEndOfLine,TokenEndOfFunction,TokenBackSlash,TokenVolatileType,TokenHashPragma,TokenUnderscorePragma,TokenConstType
kernel/iir,0,112,58,16,4,0,0,0,0,0,0,0,112,0,0,0,0,0,0,5,0,1,158,0,0,0,0,0,0,5,341,0,0,524,0,0,0,114,0,41,43,0,0,120,272,1073,130,0,0,0,0,0,0,1,0,0,362,0,8,6,7,0,2,0,4,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,7,0,0
kernel/insertsort,0,20,186,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,86,10,10,0,0,0,1,145,0,0,0,83,45,0,0,0,0,318,321,0,0,3,112,1332,223,0,0,0,0,0,0,0,0,0,332,0,59,59,8,0,0,0,6,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,20,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0
kernel/isqrt,0,3132,70074,2001,10840,0,0,0,64064,0,0,0,0,0,0,0,0,0,0,34034,1,0,39039,0,0,32032,96096,32032,64064,64076,13013,0,0,54884,0,0,0,1001,0,0,1,1001,0,227227,328332,791952,325393,0,35036,0,0,0,69,5,0,0,210884,0,49882,49882,2009,2002,18,0,8,0,0,0,0,8,0,0,0,2,0,3005,3,0,0,0,2003,0,32033,0,0,0,0,0,2,8,8,0,0,0,0,0,0,0,0,12,0,129129,0,0,2004,0,0
kernel/jfdctint,0,112,680,104,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,130,0,0,18,128,112,592,355,448,0,64,200,16,0,0,0,0,512,513,0,0,1795,1624,4410,1576,0,0,0,0,0,0,0,0,0,947,0,85,83,13,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,2,0,730,0,0,5,0,1
kernel/lms,0,1419,6090,8743,0,0,0,0,0,0,0,0,0,201,201,0,0,0,0,447,0,0,505,324,8866,4422,0,0,1381,5069,11793,503,201,8865,4020,0,0,0,0,26374,26381,0,0,2159,15873,133674,13244,0,0,0,0,0,0,1132,0,0,29539,0,1053,649,407,0,407,205,2,0,0,0,0,0,0,0,0,0,0,1,0,0,101,0,607,0,201,0,0,0,0,0,404,3,0,0,0,0,0,0,0,0,0,2,0,1840,0,0,608,0,101
kernel/ludcmp,0,1,193,42,86,6,0,0,0,0,0,0,0,1,1,1,1,0,0,0,36,15,57,2,178,11,0,0,188,3,85,21,0,173,5,0,0,0,0,674,680,0,0,76,368,2726,249,0,0,0,0,0,0,3,0,0,577,0,107,99,11,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,104,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,57,0,0
kernel/matrix1,0,2,626,1100,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,113,1,0,1625,0,0,0,0,0,0,1,5707,0,0,3610,0,0,0,0,0,513,516,0,0,1,1516,12257,2468,0,0,0,0,0,0,0,0,0,3461,0,115,113,9,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,2,0,2135,0,1,116,0,0
kernel/minver,0,23,198,45,10,3,9,0,0,0,0,0,0,0,0,5,0,0,0,0,5,35,201,7,4,9,0,0,0,19,38,8,0,147,0,0,0,0,0,458,470,0,0,5,229,1992,155,0,0,0,0,0,0,51,0,0,485,0,110,103,14,0,0,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,58,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,54,0,0
kernel/prime,0,19,11,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,18,0,0,0,16,0,0,0,2,0,24,0,20,0,0,3,0,0,0,0,0,0,0,28,90,214,45,0,0,0,0,0,0,0,0,0,58,0,46,18,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,2,0,18,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0
kernel/rad2deg,0,0,4,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,361,0,0,0,361,0,721,720,0,0,0,0,0,0,0,0,0,0,0,1441,2166,3978,1085,0,0,0,0,0,1443,0,0,0,730,0,4,2,5,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,3,0,1441,0,0,2,0,0
kernel/recursion,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,1,0,0,0,0,0,0,89,177,0,0,0,0,0,0,0,0,0,0,0,0,0,3,504,688,588,0,0,0,0,0,0,0,0,0,185,0,181,2,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0
kernel/st,0,16,4281,7000,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,9,4,0,7088,1,64,64,0,0,4068,6191,11215,73,2000,7076,0,76,0,0,0,10000,10002,0,0,12328,25692,86905,13188,0,0,0,0,0,73,3,0,0,24465,0,7224,1154,13,0,93,0,14,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,208,0,0,0,0,0,6070,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,12,0,0
sequential/adpcm_dec,0,370,17480,3075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,3145,15,0,11418,4,76,11448,11724,34933,5705,0,5946,80,0,0,0,0,178,196,0,0,34613,54757,131042,41240,0,90,0,0,0,0,0,0,0,32113,0,11542,5819,5813,0,0,0,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,5746,9,0,0,0,0,5739,4,0,0,0,0,0,0,0,0,0,2,0,6021,0,1,28,0,0
sequential/adpcm_enc,0,610,17502,3075,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,4,1,3213,17,31,11432,6,105,11448,11760,34985,5707,0,6018,91,0,0,0,0,202,220,0,0,34692,54918,131497,41554,0,125,0,0,0,0,0,0,0,32222,0,11546,5822,5812,0,0,0,8,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,5793,9,1,0,0,0,5745,4,0,0,0,0,0,0,0,0,0,2,0,6020,0,1,30,0,0
sequential/dijkstra,0,89641,3499111,20,0,0,0,0,0,0,0,0,10000,1,1,1497500,0,0,0,59900,1512516,1497500,1524717,1512495,0,14975,0,0,1527410,14996,89850,1,20,1539590,14975,14975,0,0,0,6058945,6058951,3028970,3785122,6004999,12462183,32259683,4643926,0,0,0,0,0,0,0,0,0,3641258,0,3101932,3072240,95,0,0,0,6,0,0,0,0,0,0,0,1,29955,0,1,0,0,0,0,15097,0,3054940,14938,0,0,0,0,29992,5,2,0,0,0,0,0,0,0,0,5,0,4553733,0,1,30036,0,0
sequential/epic,0,13408,167666,367424,24,4096,12,0,0,0,0,0,0,35641,35641,0,0,0,0,0,1081,1352,297465,2160,96888,32400,0,0,112128,52444,170070,1194,2002,710608,0,0,0,0,0,366232,366237,0,0,76787,401050,3564437,78252,0,0,0,0,0,18912,60,0,0,1010807,0,277821,277825,3467,0,4,0,13,0,0,0,0,2,0,2296,0,0,0,0,2,0,1352,0,104419,0,2432,0,0,0,0,0,2,15,1,0,0,0,0,0,0,0,0,3,0,46515,0,0,105772,0,0
sequential/g723_enc,0,15736,32241,5377,2119,0,0,0,183,96,0,256,256,12288,13023,0,0,0,4096,12642,5378,513,43112,5180,304,6622,7936,18001,8032,20202,15460,0,0,53346,1280,0,0,0,0,19365,19377,0,22369,52749,126402,330243,93539,0,0,0,0,0,0,0,0,0,79205,0,44783,37285,5413,256,0,0,8,0,0,0,12039,768,0,0,0,2,0,259,0,0,0,0,3845,0,42407,1,329,512,0,0,7426,8,0,0,0,0,0,0,0,0,0,2,0,1281,0,1,3847,0,0
sequential/h264_dec,0,51046,1855,128,0,0,0,0,0,0,0,0,17574,1536,1536,0,0,0,0,260,128,9,18506,1024,0,0,0,1,2738,1295,36429,2502,928,70628,0,272,0,17577,0,3208,3231,11,1334,23570,42017,126164,55039,0,0,0,0,0,0,0,0,0,37570,0,618,17924,20,0,0,0,6,0,0,3,7,0,0,0,3,1,0,2,2,0,0,0,88,0,539,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,4,0,0,0,1,89,0,0
sequential/huff_dec,0,1096,15178,60,137,0,0,0,0,0,0,0,0,0,0,0,148,0,0,3675,3708,1201,9488,0,1374,203,488,3278,187,719,0,0,0,10947,2841,149,0,0,0,20413,20426,9592,8596,7868,34062,115173,30898,0,0,0,0,0,0,0,1,0,32589,0,9341,2972,9,0,0,0,8,0,0,0,0,5,0,0,0,0,0,187,2,0,1,0,519,0,7884,816,0,0,0,0,3470,2,0,0,0,0,0,0,0,0,0,2,0,663,0,0,1337,0,0
sequential/mpeg2,0,2008718,21202706,14464185,1648839,0,0,0,7040,0,0,0,90112,5632,5632,0,1764009,0,0,77421,1408,1,17794303,17952,1033328,5775091,17600,4613996,19228076,19220500,3955222,352,0,7879651,239360,602559,0,90113,0,36598753,36600188,2816,5632,26092087,44915302,176516931,57018883,0,0,0,0,0,0,0,0,0,34172673,0,6633779,6106506,575135,0,0,0,18,0,0,0,0,0,0,0,0,3,0,280345,0,0,0,0,589558,0,17241378,0,243763,0,0,0,283512,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,589559,0,0
sequential/ndes,0,39491,4592,0,0,0,0,0,31,128,0,16,64,1752,1752,48,0,1904,0,2722,80,1,108,0,1134,1311,2704,456,546,493,4985,0,0,321,2360,0,0,0,0,4532,4664,6760,0,10709,11656,32846,49138,0,2124,0,0,0,0,0,0,0,7260,0,1859,5105,55,16,0,0,10,0,0,0,0,5,0,0,0,0,0,37,2,0,0,0,100,0,970,0,0,0,0,0,954,2,0,0,0,0,0,0,0,0,0,2,0,4,0,68,101,0,0
sequential/petrinet,0,0,5,14,0,0,0,0,0,0,0,0,0,1,1,0,144,0,0,0,93,0,17,3,52,52,0,0,52,1,0,0,0,28,2,0,0,0,0,198,201,0,0,287,359,398,371,0,0,0,0,0,0,0,0,0,43,0,5,3,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,52,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,5,0,1
sequential/statemate,0,3600,12328,64,0,0,0,0,0,0,0,0,0,0,201,2,603,0,0,0,1,406,101,0,0,70,64,0,0,5,0,0,0,200,64,998,0,0,0,4268,4269,0,0,6136,10348,51302,6610,0,0,1,0,0,0,0,0,0,13065,0,1106,1004,18,75,0,0,16,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,2,0,1606,0,100,100,0,0,2,23,0,0,0,0,0,0,0,0,0,2,0,6204,0,0,3,0,0
test/cover,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8590,0,0,0,0,0,0,0,183,0,0,0,0,0,0,1,0,0,0,360,0,0,0,0,0,0,0,0,0,0,367,1115,8778,0,0,0,0,0,0,0,0,0,378,0,187,182,12,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,180,180,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0
test/duff,0,103,147,0,0,0,0,0,0,0,0,0,100,0,43,0,0,0,0,1,0,1,202,6,0,0,0,0,1,101,329,1,1,586,6,0,0,101,0,102,104,0,0,105,317,1621,63,0,0,0,0,0,0,0,0,0,457,0,11,11,6,2,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,37,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,11,0,0
test/test3,0,3527155,1427512,67721376,0,0,0,0,0,2821724,0,0,0,0,0,0,0,0,0,705431,0,1,3535867,0,0,0,0,0,8192,1,33868880,0,8192,2830172,0,0,0,0,0,1427246,1427262,0,0,24578,3568377,223016071,9204174,0,0,0,0,0,0,0,0,0,73398382,0,3535351,3527157,1410878,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705695,0,0,0,0,0,0,0,8194,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,705696,0,0
