Expression hash,Count,Expression string
134747137,1825,"UnsignedChar == UnsignedChar"
16848129,35172,"Int != Int"
84219137,3908,"LongLong != LongLong"
134616321,17586,"UnsignedChar != UnsignedInt"
16848385,26590,"Int < Int"
67376641,17586,"Long < Long"
134616577,8392,"UnsignedChar < UnsignedInt"
16848641,2722,"Int > Int"
134289153,363,"UnsignedChar > Int"
134289665,2600,"UnsignedChar >= Int"
67377409,35172,"Long >= Long"
100735489,3908,"UnsignedInt << Int"
17177601,7816,"Int + UnsignedInt"
84417537,3908,"LongLong + UnsignedChar"
352396801,22657,"_Type cast Int"
352658945,3908,"_Type cast LongLong"
352724481,59296,"_Type cast UnsignedInt"
352855553,10726,"_Type cast UnsignedChar"
353314305,66,"_Type cast Pointer"
134293249,23600,"arr<UnsignedChar>[Int]"
251733761,42988,"arr<Pointer>[Int]"
134620929,23448,"arr<UnsignedChar>[UnsignedInt]"
73986,22471,"Int++"
270594,10366,"Long++"
532738,3428,"UnsignedChar++"
991490,1160,"Pointer++"
598530,1208,"UnsignedLong--"
16843267,2,"ret<Int> = Int"
252641795,48,"ret<Pointer> = Pointer"
72960,2,"-Int"
73984,15,"++Int"
16843265,40,"var<Int> = Int"
17039873,30,"var<Int> = Long"
17105409,4,"var<Int> = LongLong"
16847873,4,"Int == Int"
16848129,1,"Int != Int"
16848385,16,"Int < Int"
16848641,4,"Int > Int"
16848897,5,"Int <= Int"
16849665,4,"Int >> Int"
16849921,34,"Int + Int"
16850177,5,"Int - Int"
16850433,30,"Int * Int"
16850945,30,"Int % Int"
285288193,38,"arr<Struct>[Int]"
16843267,2,"ret<Int> = Int"
67174915,30,"ret<Long> = Int"
17105411,1,"ret<Int> = LongLong"
267008,10,"&Long"
594688,40,"&UnsignedLong"
72960,1,"-Int"
990720,40,"*Pointer"
401664,310,"++UnsignedInt"
1385728,320,"sizeof_Type"
16843265,104,"var<Int> = Int"
100729345,20,"var<UnsignedInt> = Int"
151060993,2,"var<UnsignedLong> = Int"
16974337,130,"var<Int> = Char"
50528769,512,"var<Char> = Char"
67371521,95,"var<Long> = Long"
151257601,8,"var<UnsignedLong> = Long"
67437057,50,"var<Long> = LongLong"
67699201,8,"var<Long> = UnsignedLong"
151585281,8,"var<UnsignedLong> = UnsignedLong"
252641793,10,"var<Pointer> = Pointer"
16843521,410,"Int += Int"
151061249,160,"UnsignedLong += Int"
16974593,30,"Int += Char"
67176705,310,"Long >>= Int"
151062785,120,"UnsignedLong >>= Int"
67440641,320,"Long && LongLong"
50402049,40,"Char & Int"
67375873,471,"Long & Long"
151261953,80,"UnsignedLong & Long"
67703553,80,"Long & UnsignedLong"
151065857,1,"UnsignedLong != Int"
17044737,61,"Int != Long"
67441921,120,"Long != LongLong"
16848385,514,"Int < Int"
100734465,9,"UnsignedInt < Int"
100996609,320,"UnsignedInt < LongLong"
101062145,88,"UnsignedInt < UnsignedInt"
67180545,8,"Long <= Int"
67181313,50,"Long >> Int"
151067393,70,"UnsignedLong >> Int"
151067649,1,"UnsignedLong + Int"
16980993,80,"Int + Char"
50535425,20,"Char + Char"
84155393,50,"LongLong + Long"
67181825,61,"Long - Int"
67378433,8,"Long - Long"
83959297,320,"LongLong * Int"
17047041,16,"Int * Long"
67182337,8,"Long / Int"
67182593,8,"Long % Int"
352593409,320,"_Type cast Long"
352658945,70,"_Type cast LongLong"
352921089,90,"_Type cast UnsignedLong"
353314305,50,"_Type cast Pointer"
50407169,1224,"arr<Char>[Int]"
134293249,40,"arr<UnsignedChar>[Int]"
251733761,40,"arr<Pointer>[Int]"
50865921,80,"arr<Char>[UnsignedChar]"
73986,573,"Int++"
401666,88,"UnsignedInt++"
991490,30,"Pointer++"
16843267,181,"ret<Int> = Int"
151257603,8,"ret<UnsignedLong> = Long"
17105411,1,"ret<Int> = LongLong"
72960,1,"-Int"
16843265,808,"var<Int> = Int"
16843521,1,"Int += Int"
16844289,63,"Int /= Int"
83954945,1,"LongLong ? Int"
16846337,1,"Int : Int"
16847873,1,"Int == Int"
17110017,240,"Int == LongLong"
16848385,467,"Int < Int"
16848641,464,"Int > Int"
16849921,723,"Int + Int"
16850177,32,"Int - Int"
16850689,161,"Int / Int"
16852737,1027,"arr<Int>[Int]"
73986,304,"Int++"
16843267,2,"ret<Int> = Int"
72960,100,"-Int"
16843265,20103,"var<Int> = Int"
17105409,99,"var<Int> = LongLong"
17108993,99,"Int && LongLong"
16848385,5644,"Int < Int"
16848641,10386,"Int > Int"
16849921,15244,"Int + Int"
16850177,10686,"Int - Int"
16850433,100,"Int * Int"
16852737,30388,"arr<Int>[Int]"
73986,5443,"Int++"
16843267,4,"ret<Int> = Int"
725760,8,"&Float"
990720,352,"*Pointer"
16843265,4,"var<Int> = Int"
184615425,130,"var<Float> = Int"
185270785,32,"var<Float> = Float"
252641793,4,"var<Pointer> = Pointer"
185271041,96,"Float += Float"
185271297,16,"Float -= Float"
185275649,1,"Float != Float"
16848385,68,"Int < Int"
185277441,32,"Float + Float"
16850433,4,"Int * Int"
185277953,64,"Float * Float"
184624897,88,"arr<Float>[Int]"
73986,64,"Int++"
991490,288,"Pointer++"
991746,32,"Pointer--"
16843267,1,"ret<Int> = Int"
17105411,1,"ret<Int> = LongLong"
72960,1,"-Int"
728320,73,"-Float"
16843265,260,"var<Int> = Int"
100729345,31,"var<UnsignedInt> = Int"
17170945,292,"var<Int> = UnsignedInt"
101057025,152,"var<UnsignedInt> = UnsignedInt"
17498625,1,"var<Int> = Float"
185270785,1448,"var<Float> = Float"
185336321,5,"var<Float> = Double"
185271041,200,"Float += Float"
16845313,200,"Int &= Int"
84217857,76,"LongLong && LongLong"
16847617,184,"Int & Int"
100733697,76,"UnsignedInt & Int"
17175297,92,"Int & UnsignedInt"
16847873,49,"Int == Int"
16848129,76,"Int != Int"
100734209,16,"UnsignedInt != Int"
16848385,396,"Int < Int"
184620545,101,"Float < Int"
16848641,48,"Int > Int"
16848897,268,"Int <= Int"
16849153,92,"Int >= Int"
185277441,524,"Float + Float"
16850177,107,"Int - Int"
185277697,776,"Float - Float"
185277953,1218,"Float * Float"
352396801,76,"_Type cast Int"
352724481,76,"_Type cast UnsignedInt"
353052161,130,"_Type cast Float"
16852737,76,"arr<Int>[Int]"
184624897,184,"arr<Float>[Int]"
251733761,276,"arr<Pointer>[Int]"
16843267,94,"ret<Int> = Int"
185270787,276,"ret<Float> = Float"
72960,1,"-Int"
16843265,852,"var<Int> = Int"
16843521,400,"Int += Int"
83954945,1,"LongLong ? Int"
16846337,1,"Int : Int"
16847873,1,"Int == Int"
16848385,882,"Int < Int"
16849153,400,"Int >= Int"
16849921,403,"Int + Int"
16850433,400,"Int * Int"
16850945,400,"Int % Int"
352396801,1,"_Type cast Int"
16852737,1200,"arr<Int>[Int]"
268510977,1200,"arr<Array>[Int]"
73986,1240,"Int++"
16843267,402,"ret<Int> = Int"
70400,879,"&Int"
72960,2018,"-Int"
728320,1162,"-Float"
990720,879,"*Pointer"
336896,793,"~LongLong"
16843265,13379,"var<Int> = Int"
100729345,4056,"var<UnsignedInt> = Int"
184615425,208,"var<Float> = Int"
17105409,5566,"var<Int> = LongLong"
100991489,1586,"var<UnsignedInt> = LongLong"
17170945,55256,"var<Int> = UnsignedInt"
101057025,8251,"var<UnsignedInt> = UnsignedInt"
185270785,61055,"var<Float> = Float"
185336321,5,"var<Float> = Double"
16843521,33965,"Int += Int"
184615681,5,"Float += Int"
17105665,2783,"Int += LongLong"
17171201,15372,"Int += UnsignedInt"
185271041,1761,"Float += Float"
16843777,16741,"Int -= Int"
184615937,900,"Float -= Int"
185271297,1586,"Float -= Float"
184616193,793,"Float *= Int"
16845057,1197,"Int >>= Int"
100731137,29925,"UnsignedInt >>= Int"
16845313,516,"Int &= Int"
83954945,793,"LongLong ? Int"
16846337,793,"Int : Int"
84217601,2379,"LongLong || LongLong"
84217857,927,"LongLong && LongLong"
16847105,2783,"Int | Int"
83955969,2379,"LongLong | Int"
16847617,10779,"Int & Int"
100733697,1720,"UnsignedInt & Int"
17109761,793,"Int & LongLong"
17175297,4988,"Int & UnsignedInt"
16847873,9747,"Int == Int"
83956737,1586,"LongLong == Int"
101061633,793,"UnsignedInt == UnsignedInt"
185275393,1586,"Float == Float"
16848129,1331,"Int != Int"
100734209,31165,"UnsignedInt != Int"
16848385,3908,"Int < Int"
184620545,206,"Float < Int"
185275905,793,"Float < Float"
16848641,4965,"Int > Int"
184620801,1080,"Float > Int"
185276161,1197,"Float > Float"
16848897,32510,"Int <= Int"
83957761,793,"LongLong <= Int"
184621057,879,"Float <= Int"
16849153,177,"Int >= Int"
185276673,1197,"Float >= Float"
16849409,2783,"Int << Int"
16849665,8738,"Int >> Int"
100735745,1586,"UnsignedInt >> Int"
16849921,793,"Int + Int"
83958785,1990,"LongLong + Int"
17112065,793,"Int + LongLong"
84220929,793,"LongLong + LongLong"
17177601,45297,"Int + UnsignedInt"
185277441,25893,"Float + Float"
16850177,1796,"Int - Int"
83959041,3965,"LongLong - Int"
185277697,25086,"Float - Float"
185277953,42399,"Float * Float"
17506049,793,"Int / Float"
185278209,8307,"Float / Float"
352396801,3306,"_Type cast Int"
352724481,1331,"_Type cast UnsignedInt"
353052161,1971,"_Type cast Float"
16852737,134,"arr<Int>[Int]"
184624897,5112,"arr<Float>[Int]"
251733761,4754,"arr<Pointer>[Int]"
16843267,179,"ret<Int> = Int"
185270787,4312,"ret<Float> = Float"
184615425,2,"var<Float> = Int"
17498625,1,"var<Int> = Float"
185270785,1,"var<Float> = Float"
185271041,361,"Float += Float"
185336577,361,"Float += Double"
16847873,1,"Int == Int"
185276417,362,"Float <= Float"
185277953,361,"Float * Float"
184622849,361,"Float / Int"
16843267,2,"ret<Int> = Int"
16843265,5,"var<Int> = Int"
16843521,6,"Int += Int"
16847873,21,"Int == Int"
16848897,7,"Int <= Int"
16850177,16,"Int - Int"
16850433,15,"Int * Int"
73986,27,"Int++"
16843267,23,"ret<Int> = Int"
70400,4,"&Int"
725760,1024,"&Float"
72960,3670,"-Int"
728320,1920,"-Float"
990720,103294,"*Pointer"
73984,15360,"++Int"
16843265,39238,"var<Int> = Int"
184615425,2048,"var<Float> = Int"
17105409,30731,"var<Int> = LongLong"
151585281,1024,"var<UnsignedLong> = UnsignedLong"
151716353,1024,"var<UnsignedLong> = Float"
185270785,5120,"var<Float> = Float"
252641793,10253,"var<Pointer> = Pointer"
16843521,30716,"Int += Int"
16843777,6143,"Int -= Int"
185271553,13312,"Float *= Float"
16845057,1023,"Int >>= Int"
84217857,2047,"LongLong && LongLong"
16848129,1,"Int != Int"
16848385,28697,"Int < Int"
17503745,14336,"Int < Float"
185275905,1408,"Float < Float"
16848641,1035,"Int > Int"
185276161,640,"Float > Float"
16848897,6143,"Int <= Int"
16849153,4094,"Int >= Int"
16849409,11,"Int << Int"
16849665,30720,"Int >> Int"
16849921,5120,"Int + Int"
184622081,2048,"Float + Int"
251730945,19261,"Pointer + Int"
16850177,13312,"Int - Int"
184622337,1024,"Float - Int"
251731201,25600,"Pointer - Int"
185277697,1024,"Float - Float"
16850433,45070,"Int * Int"
185277953,1024,"Float * Float"
352921089,1024,"_Type cast UnsignedLong"
353052161,1024,"_Type cast Float"
16852737,7170,"arr<Int>[Int]"
184624897,1024,"arr<Float>[Int]"
73986,24576,"Int++"
991490,23552,"Pointer++"
16843267,1025,"ret<Int> = Int"
17105411,1,"ret<Int> = LongLong"
185270787,2048,"ret<Float> = Float"
16843265,8328,"var<Int> = Int"
184615425,13568,"var<Float> = Int"
185270785,1024,"var<Float> = Float"
185271041,250368,"Float += Float"
84218625,254464,"LongLong & LongLong"
16848385,273078,"Int < Int"
16848641,3,"Int > Int"
16849153,254464,"Int >= Int"
16849921,2304,"Int + Int"
16850177,500737,"Int - Int"
16850433,2048,"Int * Int"
185277953,246272,"Float * Float"
16850689,1073,"Int / Int"
352396801,17,"_Type cast Int"
353052161,1,"_Type cast Float"
184624897,762625,"arr<Float>[Int]"
268510977,246784,"arr<Array>[Int]"
73986,264752,"Int++"
74242,3,"Int--"
16843267,2,"ret<Int> = Int"
725760,48,"&Float"
990720,942,"*Pointer"
401664,308,"++UnsignedInt"
991488,308,"++Pointer"
1058048,312,"sizeofArray"
16843265,53,"var<Int> = Int"
50397697,1,"var<Char> = Int"
100729345,4,"var<UnsignedInt> = Int"
184615425,166,"var<Float> = Int"
17498625,1,"var<Int> = Float"
185270785,32,"var<Float> = Float"
252641793,74,"var<Pointer> = Pointer"
185271041,144,"Float += Float"
134417409,308,"UnsignedChar ^= Char"
16848129,1,"Int != Int"
16848385,217,"Int < Int"
184620545,182,"Float < Int"
100996609,312,"UnsignedInt < LongLong"
16849921,16,"Int + Int"
251730945,48,"Pointer + Int"
185277441,2,"Float + Float"
16850177,1,"Int - Int"
251731201,2,"Pointer - Int"
16850433,76,"Int * Int"
185277953,144,"Float * Float"
353314305,4,"_Type cast Pointer"
184624897,51,"arr<Float>[Int]"
73986,164,"Int++"
729346,154,"Float++"
991490,490,"Pointer++"
16843267,1,"ret<Int> = Int"
17105411,1,"ret<Int> = LongLong"
725760,5,"&Float"
990720,160,"*Pointer"
401664,112,"++UnsignedInt"
991488,112,"++Pointer"
1058048,114,"sizeofArray"
16843265,4,"var<Int> = Int"
50397697,1,"var<Char> = Int"
100729345,2,"var<UnsignedInt> = Int"
184615425,28,"var<Float> = Int"
185270785,18,"var<Float> = Float"
185336321,1,"var<Float> = Double"
252641793,5,"var<Pointer> = Pointer"
185271041,16,"Float += Float"
185271297,4,"Float -= Float"
134417409,112,"UnsignedChar ^= Char"
16848129,1,"Int != Int"
16848385,44,"Int < Int"
100996609,114,"UnsignedInt < LongLong"
16850177,1,"Int - Int"
185277697,4,"Float - Float"
16850433,41,"Int * Int"
185277953,20,"Float * Float"
352396801,1,"_Type cast Int"
353052161,1,"_Type cast Float"
353314305,2,"_Type cast Pointer"
184624897,41,"arr<Float>[Int]"
73986,40,"Int++"
991490,36,"Pointer++"
16843267,1,"ret<Int> = Int"
17105411,1,"ret<Int> = LongLong"
72960,1,"-Int"
16843265,41,"var<Int> = Int"
100729345,45,"var<UnsignedInt> = Int"
17170945,45,"var<Int> = UnsignedInt"
101057025,55,"var<UnsignedInt> = UnsignedInt"
17171201,10,"Int += UnsignedInt"
16848129,1,"Int != Int"
16848385,32,"Int < Int"
101062145,54,"UnsignedInt < UnsignedInt"
16848641,10,"Int > Int"
16848897,10,"Int <= Int"
16849921,1,"Int + Int"
16850177,144,"Int - Int"
100738817,308,"arr<UnsignedInt>[Int]"
251733761,10,"arr<Pointer>[Int]"
73986,83,"Int++"
74242,45,"Int--"
16843267,1,"ret<Int> = Int"
17105411,1,"ret<Int> = LongLong"
594688,1001,"&UnsignedLong"
1118976,1001,"&Struct"
728320,12,"-Float"
990720,9009,"*Pointer"
992512,1001,"sizeofPointer"
16843265,2003,"var<Int> = Int"
151060993,1,"var<UnsignedLong> = Int"
50528769,4004,"var<Char> = Char"
151257601,3004,"var<UnsignedLong> = Long"
151323137,64064,"var<UnsignedLong> = LongLong"
185270785,57,"var<Float> = Float"
185336321,5,"var<Float> = Double"
252641793,2002,"var<Pointer> = Pointer"
16843521,1000,"Int += Int"
151454465,1001,"UnsignedLong += UnsignedShort"
151585793,10840,"UnsignedLong -= UnsignedLong"
151062529,64064,"UnsignedLong <<= Int"
151327489,32032,"UnsignedLong & LongLong"
151065601,1,"UnsignedLong == Int"
16848385,39039,"Int < Int"
151591169,32032,"UnsignedLong >= UnsignedLong"
67181057,32032,"Long << Int"
151067137,64064,"UnsignedLong << Int"
167844609,32032,"UnsignedLongLong >> Int"
83958785,32032,"LongLong + Int"
84220929,32032,"LongLong + LongLong"
16850177,64064,"Int - Int"
353314305,2002,"_Type cast Pointer"
73986,36036,"Int++"
598274,10840,"UnsignedLong++"
991490,8008,"Pointer++"
16843267,2,"ret<Int> = Int"
72960,81,"-Int"
73984,64,"++Int"
16843265,679,"var<Int> = Int"
252707329,2,"var<Pointer> = Array"
16843521,96,"Int += Int"
251724545,8,"Pointer += Int"
83954945,1,"LongLong ? Int"
16846337,1,"Int : Int"
16847873,1,"Int == Int"
16848385,130,"Int < Int"
16849153,18,"Int >= Int"
16849409,128,"Int << Int"
83958529,112,"LongLong >> Int"
16849921,480,"Int + Int"
17112065,112,"Int + LongLong"
16850177,274,"Int - Int"
16850433,448,"Int * Int"
16850945,64,"Int % Int"
352396801,304,"_Type cast Int"
352658945,128,"_Type cast LongLong"
16852737,128,"arr<Int>[Int]"
251733761,384,"arr<Pointer>[Int]"
73986,64,"Int++"
991490,8,"Pointer++"
74242,16,"Int--"
16843267,2,"ret<Int> = Int"
725760,201,"&Float"
793856,100,"-Double"
990720,603,"*Pointer"
16843265,808,"var<Int> = Int"
151060993,1,"var<UnsignedLong> = Int"
151585281,246,"var<UnsignedLong> = UnsignedLong"
185270785,4824,"var<Float> = Float"
185336321,446,"var<Float> = Double"
202113537,572,"var<Double> = Double"
16843521,100,"Int += Int"
185271041,8442,"Float += Float"
202048257,201,"Double += Float"
83954945,201,"LongLong ? Int"
69121,121,"Void : Int"
16846337,80,"Int : Int"
151065345,246,"UnsignedLong & Int"
16848385,505,"Int < Int"
16848641,201,"Int > Int"
202118913,123,"Double > Double"
16848897,8866,"Int <= Int"
16849153,4422,"Int >= Int"
16849921,609,"Int + Int"
151067649,246,"UnsignedLong + Int"
185277441,201,"Float + Float"
202120193,325,"Double + Double"
16850177,4321,"Int - Int"
17505537,201,"Int - Float"
185277697,201,"Float - Float"
202120449,246,"Double - Double"
16850433,803,"Int * Int"
151068161,246,"UnsignedLong * Int"
185277953,9246,"Float * Float"
151789057,246,"UnsignedLong * Double"
202120705,448,"Double * Double"
201400065,201,"Double / Int"
185278209,201,"Float / Float"
17571585,101,"Int / Double"
16850945,201,"Int % Int"
353117697,1,"_Type cast Double"
184624897,26173,"arr<Float>[Int]"
201402113,201,"arr<Double>[Int]"
73986,8865,"Int++"
74242,4020,"Int--"
16843267,2,"ret<Int> = Int"
185270787,201,"ret<Float> = Float"
202113539,201,"ret<Double> = Double"
72960,1,"-Int"
793856,1,"-Double"
16843265,61,"var<Int> = Int"
201392641,44,"var<Double> = Int"
202113537,93,"var<Double> = Double"
202113793,42,"Double += Double"
202114049,86,"Double -= Double"
201393409,6,"Double *= Int"
83954945,1,"LongLong ? Int"
16846337,1,"Int : Int"
84217601,1,"LongLong || LongLong"
84217857,1,"LongLong && LongLong"
16847873,36,"Int == Int"
16848129,15,"Int != Int"
16848385,56,"Int < Int"
202118657,1,"Double < Double"
16848641,1,"Int > Int"
202118913,1,"Double > Double"
16848897,172,"Int <= Int"
201398273,1,"Double <= Int"
202119169,5,"Double <= Double"
16849153,6,"Int >= Int"
201398529,5,"Double >= Int"
16849921,188,"Int + Int"
16850177,1,"Int - Int"
202120705,85,"Double * Double"
202120961,21,"Double / Double"
201402113,370,"arr<Double>[Int]"
268510977,304,"arr<Array>[Int]"
73986,173,"Int++"
74242,5,"Int--"
16843267,3,"ret<Int> = Int"
202113539,5,"ret<Double> = Double"
70400,113,"&Int"
72960,1,"-Int"
990720,3100,"*Pointer"
16843265,517,"var<Int> = Int"
252641793,113,"var<Pointer> = Pointer"
16843521,1100,"Int += Int"
83954945,1,"LongLong ? Int"
16846337,1,"Int : Int"
16847873,1,"Int == Int"
16848385,1625,"Int < Int"
16850433,1507,"Int * Int"
16852737,513,"arr<Int>[Int]"
73986,1510,"Int++"
991490,2100,"Pointer++"
16843267,2,"ret<Int> = Int"
793856,19,"-Double"
16843265,79,"var<Int> = Int"
201392641,2,"var<Double> = Int"
202113537,120,"var<Double> = Double"
201392897,9,"Double += Int"
202113793,36,"Double += Double"
202114049,10,"Double -= Double"
202114305,3,"Double *= Double"
202114561,9,"Double /= Double"
84217601,5,"LongLong || LongLong"
16847873,5,"Int == Int"
16848129,29,"Int != Int"
202118401,6,"Double != Double"
16848385,201,"Int < Int"
16848641,1,"Int > Int"
202118913,6,"Double > Double"
202119169,4,"Double <= Double"
201398529,9,"Double >= Int"
201399809,1,"Double * Int"
202120705,37,"Double * Double"
202120961,8,"Double / Double"
353117697,1,"_Type cast Double"
16852737,24,"arr<Int>[Int]"
201402113,217,"arr<Double>[Int]"
268510977,217,"arr<Array>[Int]"
73986,147,"Int++"
16843267,3,"ret<Int> = Int"
17105411,1,"ret<Int> = LongLong"
202113539,9,"ret<Double> = Double"
398080,2,"&UnsignedInt"
990720,4,"*Pointer"
336640,1,"!LongLong"
533248,2,"!UnsignedChar"
16843265,3,"var<Int> = Int"
100729345,2,"var<UnsignedInt> = Int"
17105409,1,"var<Int> = LongLong"
101057025,5,"var<UnsignedInt> = UnsignedInt"
100729601,14,"UnsignedInt += Int"
84217857,1,"LongLong && LongLong"
100733953,18,"UnsignedInt == Int"
101062657,16,"UnsignedInt <= UnsignedInt"
16849921,2,"Int + Int"
16850433,2,"Int * Int"
101064193,16,"UnsignedInt * UnsignedInt"
16850945,2,"Int % Int"
101064705,18,"UnsignedInt % UnsignedInt"
16843267,2,"ret<Int> = Int"
100729347,2,"ret<UnsignedInt> = Int"
134283779,2,"ret<UnsignedChar> = Int"
134545923,18,"ret<UnsignedChar> = LongLong"
134742531,2,"ret<UnsignedChar> = UnsignedChar"
184615425,2,"var<Float> = Int"
17498625,1,"var<Int> = Float"
185270785,1,"var<Float> = Float"
185271041,360,"Float += Float"
185336577,360,"Float += Double"
16847873,1,"Int == Int"
185276417,361,"Float <= Float"
185277441,361,"Float + Float"
184622593,360,"Float * Int"
17505793,361,"Int * Float"
184622849,360,"Float / Int"
185278209,360,"Float / Float"
16843267,2,"ret<Int> = Int"
72960,1,"-Int"
16843265,3,"var<Int> = Int"
16847873,320,"Int == Int"
16848129,1,"Int != Int"
16849921,89,"Int + Int"
16850177,176,"Int - Int"
16843267,178,"ret<Int> = Int"
17105411,1,"ret<Int> = LongLong"
725760,9,"&Float"
72960,1,"-Int"
728320,61,"-Float"
793856,1,"-Double"
990720,2013,"*Pointer"
74496,76,"!Int"
16843265,2019,"var<Int> = Int"
184615425,2,"var<Float> = Int"
184812033,2000,"var<Float> = Long"
185270785,277,"var<Float> = Float"
185271041,7000,"Float += Float"
185336833,1,"Float -= Double"
83954945,1,"LongLong ? Int"
16846337,1,"Int : Int"
84217857,1,"LongLong && LongLong"
184620033,4,"Float == Int"
16848385,7087,"Int < Int"
185341441,1,"Float < Double"
185341697,1,"Float > Double"
185276417,64,"Float <= Float"
184621313,64,"Float >= Int"
16849921,2000,"Int + Int"
17046529,2000,"Int + Long"
185277441,68,"Float + Float"
185277697,6128,"Float - Float"
16850433,2000,"Int * Int"
185277953,5193,"Float * Float"
184622849,8,"Float / Int"
185278209,65,"Float / Float"
16850945,2000,"Int % Int"
251733761,10000,"arr<Pointer>[Int]"
73986,7076,"Int++"
16843267,2,"ret<Int> = Int"
67174915,2000,"ret<Long> = Int"
185270787,4068,"ret<Float> = Float"
72960,11703,"-Int"
269568,4,"-Long"
990720,224,"*Pointer"
16843265,17405,"var<Int> = Int"
67174913,8,"var<Long> = Int"
67371521,24,"var<Long> = Long"
17105409,30,"var<Int> = LongLong"
67437057,10,"var<Long> = LongLong"
252641793,4,"var<Pointer> = Pointer"
252707329,6,"var<Pointer> = Array"
16843521,3007,"Int += Int"
67371777,68,"Long += Long"
16847617,2,"Int & Int"
83956481,4,"LongLong & Int"
16847873,4,"Int == Int"
16848129,1,"Int != Int"
16848385,3145,"Int < Int"
16848641,15,"Int > Int"
16849153,11400,"Int >= Int"
67180801,6,"Long >= Int"
67377409,12,"Long >= Long"
16849409,4,"Int << Int"
16849665,18,"Int >> Int"
67181313,20,"Long >> Int"
67377921,38,"Long >> Long"
16849921,11440,"Int + Int"
67181569,4,"Long + Int"
67443713,4,"Long + LongLong"
16850177,13,"Int - Int"
251731201,4,"Pointer - Int"
16850433,34521,"Int * Int"
67182081,120,"Long * Int"
67378689,24,"Long * Long"
16850689,5705,"Int / Int"
352396801,123,"_Type cast Int"
352593409,6,"_Type cast Long"
352658945,32,"_Type cast LongLong"
16852737,84,"arr<Int>[Int]"
251733761,90,"arr<Pointer>[Int]"
17114881,4,"arr<Int>[LongLong]"
73986,5810,"Int++"
991490,136,"Pointer++"
991746,80,"Pointer--"
16843267,5727,"ret<Int> = Int"
17105411,5,"ret<Int> = LongLong"
72960,11737,"-Int"
335104,4,"-LongLong"
990720,236,"*Pointer"
16843265,17400,"var<Int> = Int"
83952129,10,"var<LongLong> = Int"
17105409,28,"var<Int> = LongLong"
84214273,65,"var<LongLong> = LongLong"
252641793,2,"var<Pointer> = Pointer"
252707329,4,"var<Pointer> = Array"
16843521,3007,"Int += Int"
84214529,68,"LongLong += LongLong"
17109249,2,"Int | LongLong"
83956481,4,"LongLong & Int"
16847873,4,"Int == Int"
16848129,1,"Int != Int"
16848385,3213,"Int < Int"
16848641,17,"Int > Int"
84219905,31,"LongLong <= LongLong"
16849153,11408,"Int >= Int"
83958017,12,"LongLong >= Int"
84154625,12,"LongLong >= Long"
16849409,6,"Int << Int"
16849665,16,"Int >> Int"
83958529,18,"LongLong >> Int"
67377921,24,"Long >> Long"
84155137,47,"LongLong >> Long"
16849921,11438,"Int + Int"
83958785,4,"LongLong + Int"
84220929,6,"LongLong + LongLong"
16850177,15,"Int - Int"
251731201,2,"Pointer - Int"
84221185,2,"LongLong - LongLong"
16850433,34520,"Int * Int"
67182081,24,"Long * Int"
83959297,100,"LongLong * Int"
84155905,8,"LongLong * Long"
